instance,c_star,cpsat_value,r,solve_time_s,status
I1,34158.705429,34158.705428,1.000000,0.296807,OPTIMAL
I2,20042.494113,20042.494113,1.000000,0.234539,OPTIMAL
I3,57514.088777,57514.088781,1.000000,0.231010,OPTIMAL
I4,34207.658180,34207.658178,1.000000,0.219117,OPTIMAL
I5,35788.535520,35788.535518,1.000000,0.176481,OPTIMAL
I6,32310.196559,32310.196559,1.000000,0.140176,OPTIMAL
I7,22654.815070,22654.815069,1.000000,0.028231,OPTIMAL
I8,25658.041540,25658.041541,1.000000,0.028677,OPTIMAL
I9,19313.744786,19313.744786,1.000000,0.026412,OPTIMAL
I10,19910.530154,19910.530153,1.000000,0.028279,OPTIMAL
I11,19271.769925,19271.769922,1.000000,0.025174,OPTIMAL
